names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-in Frmd7 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Myo16,3.8918166,2.130182,9.949648495456133e-05,0.002115087461019828,0.5064935064935064,0.48553170101242193,1.3821067,0.51966685
Adarb2,3.8141303,1.5951309,0.0001366633317986487,0.002698121767398744,0.5974025974025974,0.5821785021899907,1.935814,1.0860919
Dnah11,3.8021638,4.876857,0.00014343776836307805,0.0027949041594749146,0.2727272727272727,0.027895454871831694,0.4165434,0.017433118
Cpa6,3.790799,4.4327445,0.00015016343392339784,0.002904889466898272,0.2987012987012987,0.06702807496230344,0.774644,0.052750256
Apc,3.7774315,0.6632502,0.0001584541022211076,0.003032522597351254,0.6233766233766234,0.8146047246356,1.7048948,1.3460106
Ppm1e,3.7245061,0.40791973,0.00019569800956992776,0.003579455034716304,0.6753246753246753,0.8107991670855174,1.9058442,1.6705418
Syt6,3.6762512,3.5719023,0.00023668647624516492,0.004156709553403648,0.2857142857142857,0.05288288935161916,0.38532925,0.038769748
Camk1d,3.664865,0.3783638,0.0002474690321415767,0.004312252200806852,0.8961038961038961,0.9541538019674014,2.5631711,2.3237484
Kcnj3,3.6506271,0.40035796,0.0002616008457542748,0.004480060373114955,0.7012987012987013,0.7852373088245853,1.8891491,1.6588612
Ablim3,3.6427085,2.2131624,0.00026978436735839665,0.004590947404002608,0.42857142857142855,0.2996697063258419,0.74182826,0.21283273
Sox2ot,3.636665,1.65746,0.0002761906718283031,0.004679220272400066,0.5454545454545454,0.46653981474833056,1.5808564,0.7990034
Gprc5b,3.574328,2.281283,0.000351128668809815,0.005663161663217124,0.36363636363636365,0.1566381848208516,0.48010305,0.11935502
Chrm2,3.5470974,2.5412185,0.0003895005470925224,0.006106114177582309,0.36363636363636365,0.17408630717311696,0.67359215,0.15284443
Cacna2d1,3.540396,0.2748153,0.0003995271620885533,0.0062161521976371896,0.7272727272727273,0.8276369641703166,2.0614738,1.897335
Gad2,3.5398722,1.8545711,0.00040032072938474603,0.006221294388992553,0.4155844155844156,0.2230200330293674,0.6654041,0.23220885
2900079G21Rik,3.5153167,3.1726222,0.0004392298428124166,0.006694331183420099,0.2987012987012987,0.08738421770661306,0.36121026,0.047122423
Calm1,3.4800684,0.8743677,0.0005012855946770411,0.007413067654910344,0.7922077922077922,0.8372226610181661,1.8174948,1.3383567
Plp1,3.4592848,0.9108675,0.0005416120321505884,0.007866548812911519,0.7532467532467533,0.7186759531844619,1.6900698,1.209188
Fgf12,3.407541,0.3559144,0.0006555102922368446,0.009069805124821842,0.7792207792207793,0.8554606160695053,2.3989828,2.177372
Frmd7,3.3660939,4.3972573,0.0007624075603377856,0.01017174336955129,0.24675324675324675,0.030767573777554392,0.29340217,0.016052203
Pcp4l1,3.3389766,3.2938054,0.0008408764416869802,0.010989469838584221,0.2597402597402597,0.04573849357363395,0.28553903,0.033143073
Dlx6os1,3.312192,1.6977422,0.0009256801298634809,0.01178816354949371,0.44155844155844154,0.2783083219645293,0.9573955,0.40195248
C130073E24Rik,3.310444,1.6551585,0.0009314807728993622,0.011856413248605336,0.4675324675324675,0.34336181517914843,0.94661546,0.4059273
Negr1,3.309779,0.29298413,0.0009336971383698804,0.011870246914417067,0.8051948051948052,0.9027428735549652,2.742539,2.5538476
Ptprm,3.255693,1.4374582,0.0011311602491815792,0.013803031741829716,0.4935064935064935,0.3804121490629712,1.0661381,0.5324173
Plcb4,3.255233,1.4424931,0.0011329939945372547,0.013819132380034514,0.4675324675324675,0.3310117038845408,0.69397694,0.313745
Ptpro,3.2500033,2.0299995,0.001154036384721495,0.013995301317936883,0.4675324675324675,0.41326200904717453,1.0781174,0.38852784
Tmsb4x,3.2263393,1.146564,0.001253845528957885,0.014927261569826482,0.7142857142857143,0.7216198750628277,1.6693151,1.0805047
Slco5a1,3.158723,3.038343,0.0015846192048937194,0.01789021766197237,0.2857142857142857,0.10199612263947727,0.35183483,0.050053
Dgkb,3.1516113,0.5307807,0.0016237227890079247,0.018216881561855088,0.6623376623376623,0.7798879873626768,1.9376609,1.6318349
Meis1,3.1223285,2.4484975,0.0017942655521528852,0.019598339587946354,0.3116883116883117,0.13168665182738565,0.52033305,0.117828466
Adra1a,3.109244,1.870034,0.0018756669691566853,0.020281356724845122,0.36363636363636365,0.1996840669203705,0.4981913,0.16267475
Lgr6,3.027411,4.138549,0.0024665828063314263,0.02480429640947808,0.22077922077922077,0.02455661664392906,0.25156516,0.016109852
Calm2,2.9790359,0.76710796,0.002891569005886391,0.028161094305243682,0.7922077922077922,0.8575070007898327,1.8293792,1.4044132
Arpp21,2.966758,0.31103128,0.003009576271511022,0.029057604892382738,0.7402597402597403,0.7995261003805557,2.0876853,1.9014832
Grm8,2.9423723,1.1926239,0.0032570799858238422,0.030935927613675022,0.5324675324675324,0.515401737631938,1.4010646,0.8495321
Dync1i1,2.9032674,0.7371706,0.0036929109339354726,0.03407572692130706,0.5454545454545454,0.7186759531844619,1.5589988,1.1793054
Chsy3,2.9023333,0.7311028,0.0037039414942340292,0.034165776845200266,0.6233766233766234,0.7043512601421699,1.6401734,1.2538474
Ntn4,2.8711684,2.9516394,0.004089576982274732,0.036776082166573645,0.24675324675324675,0.06774610468873411,0.2884246,0.04230731
Klhl1,2.8163323,2.290226,0.004857539864145372,0.04207675568974408,0.3246753246753247,0.17853809147698715,0.5569014,0.14181444
G630016G05Rik,2.8101828,2.753026,0.004951337311854315,0.04272396710646289,0.2597402597402597,0.0920155094420909,0.28192905,0.047181103
Stxbp6,2.770349,1.081134,0.005599626181034214,0.04687288332847019,0.5324675324675324,0.4651037552954692,1.0777186,0.6502377
Cntnap4,2.7611141,1.4970311,0.005760454757505605,0.047890909447455325,0.44155844155844154,0.3515473540604581,0.93956745,0.43972614
