names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC (for_DEGs),mean_expr_Rest (for_DEGs)
Il1rapl1,9.004228,1.7365521,2.1718849340467416e-19,2.2445595453013826e-16,0.975,0.9242754529535789,4.018173,2.8555808
Luzp2,8.86311,3.5477211,7.781329099427591e-19,7.743863440800716e-16,0.95,0.5576242718793554,2.9514441,0.93634623
Fabp7,8.803062,6.543104,1.331319769516639e-18,1.2679148503525552e-15,0.825,0.05842833148697423,1.808602,0.053265333
Pde4b,8.797185,3.3884437,1.4029051279341642e-18,1.2679148503525552e-15,0.975,0.762248508022728,3.807206,1.6494462
St6gal1,8.792658,4.322534,1.4606335065621009e-18,1.2679148503525552e-15,0.875,0.3218025229603688,2.0013435,0.27749196
Nfia,8.7731085,2.5371697,1.7380104140681503e-18,1.45938561956285e-15,0.975,0.7379837758639174,2.824441,1.3166492
Stard13,8.69449,4.271824,3.483899276922068e-18,2.836738593057454e-15,0.875,0.3448879676946718,2.154222,0.3325545
Zfhx4,8.489423,4.138538,2.0766519845784405e-17,1.5942753950177914e-14,0.85,0.3126183754422328,1.898514,0.2793476
Gm34838,8.457943,9.9241905,2.7213539680982434e-17,2.0311883645222167e-14,0.775,0.00907693957045349,1.646505,0.004302069
Grik3,8.453093,3.5092695,2.836874591086318e-17,2.0601843314186314e-14,0.875,0.3604688560911982,1.7716328,0.3567037
Prkg1,8.448682,2.442788,2.9461063603066024e-17,2.0832073131957475e-14,1.0,0.8090269091948683,3.4875474,1.921551
Grb14,8.393613,3.1593115,4.714259515614206e-17,3.166803829613843e-14,0.9,0.5152056605796377,1.9842203,0.5319146
Dock7,8.368577,2.533364,5.831798178300154e-17,3.821961391485979e-14,0.9,0.6543615766715506,2.029612,0.76172924
Mboat2,8.339327,2.763318,7.471465191102121e-17,4.779958802021762e-14,0.9,0.6214130007504556,1.980458,0.65230083
Ddhd1,8.3325205,2.7662947,7.913931208754617e-17,4.945286780912479e-14,0.9,0.5968266447485974,1.8705304,0.59177035
Apod,8.323142,4.9810023,8.566195388991592e-17,5.231219775050093e-14,0.825,0.17246185183861631,1.9761484,0.17964299
Igfbp5,8.316766,4.6572466,9.039641935855097e-17,5.3976706403650325e-14,0.825,0.23810885180288033,1.8435175,0.1912682
Ror1,8.308687,3.7903907,9.676636847848241e-17,5.6524180891670055e-14,0.85,0.3325590537111818,1.8451746,0.3258155
Gsap,8.246549,5.1695476,1.6303523025379527e-16,9.12657632691558e-14,0.8,0.14515956116213416,1.7589712,0.12535232
Lamc1,8.197377,3.223365,2.4568941323862867e-16,1.3472805170861126e-13,0.85,0.4393381696029732,1.5616242,0.3388174
Timp3,8.183108,4.795298,2.7661401920984215e-16,1.4865237392336916e-13,0.8,0.16256298466926347,1.5402472,0.124001965
Afap1l2,8.120607,5.4092,4.638562715348853e-16,2.443885885518111e-13,0.775,0.07207947682521532,1.2862828,0.059813894
Phldb2,8.118074,5.6325574,4.736380263472102e-16,2.4474334169133727e-13,0.775,0.08058464067469535,1.568309,0.07377804
Zbtb20,8.100775,2.2475479,5.461039585843665e-16,2.7173728457707275e-13,0.975,0.8674552406818425,3.7831028,2.3070698
Adam12,8.062488,4.1672716,7.475733413216024e-16,3.6522355784202644e-13,0.825,0.2961440874816853,1.8807914,0.26955727
